pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.366 1 0.218478071455209 1 8 1.09722930950576 1 ACVR2B 1
0.578 1 0.218478071455209 1 8 1.02608692695877 1 ACVRL1 1
0.859 1 0.11679592833327 1 3 -2.38390024595664 5 ACY1 1
0.486 1 0.365940736211137 1 5 -1.08835274640113 3 ACY3 1
0.656 1 0.385724781771319 1 7 0.117012368450763 5 ACYP1 1
0.616 1 0.37284527840381 1 9 1.96690688530651 3 ACYP2 1
0.535 1 0.2874741298107 1 4 -1.43556774606416 5 ADA 1
0.107 1 0.365940736211137 0.292397072563859 5 -0.546843887600536 3 ADA2 1
0.186 1 0.201957859135383 0.920984213222987 1 -7.09053285549801 3 ADAD1 1
0.133 1 0.201957859135383 0.658553227734717 1 -4.75686941419805 3 ADAD2 1
0.831 1 0.363558486252013 1 5 -0.983950867015839 1 ADAL 1
0.0878 0.65608986009867 5.91730979646276 0.0148378237780427 11 6.55113529604105 3 ADAM10 1
0.926 1 2.78156539953176 0.332906067984553 10 3.28424709442122 1 ADAM11 1
0.646 1 0.242378328860233 1 8 1.44794901760987 2 ADAM12 1
0.958 1 0.385724781771319 1 5 -1.01104262391699 5 ADAM15 1
0.579 1 2.78156539953176 0.208156169938505 10 4.03365034827736 1 ADAM17 1
0.763 1 0.201957859135383 1 1 -5.93900186025122 3 ADAM18 1
0.859 1 0.375356525345088 1 9 2.68251704472422 4 ADAM19 1
0.968 1 0.166477570037299 1 1 -5.39901815305642 4 ADAM2 1
0.837 1 0.201957859135383 1 1 -4.44064165780865 3 ADAM20 1
0.425 1 0.0287657796889068 1 1 -6.03900039766218 2 ADAM21 1
0.0926 0.667578109724238 5.91730979646276 0.0156490032100997 11 5.90193134707123 3 ADAM22 1
0.086 0.667578109724238 5.5207154440852 0.0155776911291704 11 5.40015891593428 5 ADAM23 1
0.449 1 0.385724781771319 1 6 -0.055449494986153 5 ADAM28 1
0.576 1 0.385724781771319 1 7 0.0908239476945699 5 ADAM29 1
0.769 1 0.166477570037299 1 1 -5.027392356573 4 ADAM30 1
0.232 1 0.212876412581341 1 1 -4.4969185207963 5 ADAM32 1
0.389 1 0.221390839485928 1 7 0.411133915019543 4 ADAM33 1
0.523 1 0.212876412581341 1 1 -5.0787398265663 5 ADAM7 1
1 1 0 1 3 -2.74852434231145 4 ADAM8 1
0.371 1 2.78156539953176 0.133378133069405 10 3.99832212936705 1 ADAM9 1
0.0643 1 0 1 2 -3.71406630184923 1 ADAMDEC1 1
0.795 1 3.68310071232421 0.215850736131057 10 3.41459470369149 4 ADAMTS1 1
0.851 1 0.370418080332222 1 9 2.82233353700627 1 ADAMTS10 1
0.818 1 0.11679592833327 1 3 -2.2078526561235 5 ADAMTS12 1
0.0997 1 0 1 3 -2.24913544740858 2 ADAMTS13 1
0.475 1 0.11679592833327 1 3 -3.02332998916839 5 ADAMTS14 1
0.0166 0.831638221018783 0.385724781771319 0.0430358659450651 7 0.781887058933014 5 ADAMTS15 0.820950815217391
0.0744 1 0.40332971521484 0.184464464663531 5 -1.19182009609992 2 ADAMTS16 1
0.824 1 0.375356525345088 1 9 2.67718666367611 4 ADAMTS17 1
